ID,Facility_ID,Name,Column Name,PDF Name,Notes,Beds,Category,Contains ICU,k,ICU_Beds
UNC_0,1,,,,,110,UNC,1,STACH,12
UNC_1,2,,,,,25,UNC,1,STACH,3
UNC_2,3,,,,,307,UNC,1,STACH,28
UNC_3,4,,,,,179,UNC,1,STACH,16
UNC_4,5,,,,,218,UNC,1,STACH,14
UNC_5,6,,,,,201,UNC,1,STACH,20
UNC_6,7,,,,,262,UNC,1,STACH,18
UNC_7,8,,,,,439,UNC,1,STACH,83
UNC_8,9,,,,,799,UNC,1,STACH,201
UNC_9,10,,,,,255,UNC,1,STACH,15
nonUNC_0,11,,,,,182,SMALL,1,STACH,32
nonUNC_1,12,,,,,41,SMALL,1,STACH,4
nonUNC_2,13,,,,,59,SMALL,1,STACH,6
nonUNC_3,14,,,,,110,SMALL,1,STACH,8
nonUNC_4,15,,,,,15,SMALL,1,STACH,0
nonUNC_5,16,,,,,76,SMALL,1,STACH,8
nonUNC_6,17,,,,,151,SMALL,1,STACH,6
nonUNC_7,18,,,,,293,SMALL,1,STACH,16
nonUNC_8,19,,,,,46,SMALL,1,STACH,5
nonUNC_9,20,,,,,48,SMALL,1,STACH,5
nonUNC_10,21,,,,,524,LARGE,1,STACH,69
nonUNC_11,22,,,,,41,SMALL,1,STACH,4
nonUNC_12,23,,,,,307,SMALL,1,STACH,33
nonUNC_13,24,,,,,1010,LARGE,1,STACH,222
nonUNC_14,25,,,,,47,SMALL,1,STACH,0
nonUNC_15,26,,,,,100,SMALL,1,STACH,15
nonUNC_16,27,,,,,101,SMALL,1,STACH,10
nonUNC_17,28,,,,,447,LARGE,1,STACH,69
nonUNC_18,29,,,,,372,SMALL,1,STACH,37
nonUNC_19,30,,,,,135,SMALL,1,STACH,0
nonUNC_20,31,,,,,200,SMALL,1,STACH,36
nonUNC_21,32,,,,,127,SMALL,1,STACH,10
nonUNC_22,33,,,,,100,SMALL,1,#N/A,10
nonUNC_23,34,,,,,30,SMALL,1,STACH,3
nonUNC_24,35,,,,,241,SMALL,1,STACH,18
nonUNC_25,36,,,,,206,SMALL,1,STACH,40
nonUNC_26,37,,,,,154,SMALL,1,STACH,9
nonUNC_27,38,,,,,777,LARGE,1,STACH,124
nonUNC_28,39,,,,,100,SMALL,1,STACH,10
nonUNC_29,40,,,,,50,SMALL,1,STACH,5
nonUNC_30,41,,,,,50,SMALL,1,STACH,8
nonUNC_31,42,,,,,186,SMALL,1,STACH,15
nonUNC_32,43,,,,,316,SMALL,1,STACH,28
nonUNC_33,44,,,,,938,LARGE,1,STACH,252
nonUNC_34,45,,,,,37,SMALL,1,STACH,4
nonUNC_35,46,,,,,337,SMALL,1,STACH,57
nonUNC_36,47,,,,,99,SMALL,1,STACH,12
nonUNC_37,48,,,,,54,SMALL,1,STACH,5
nonUNC_38,49,,,,,8,SMALL,1,STACH,0
nonUNC_39,50,,,,,209,SMALL,1,STACH,30
nonUNC_40,51,,,,,62,SMALL,1,STACH,6
nonUNC_41,52,,,,,184,SMALL,1,STACH,8
nonUNC_42,53,,,,,126,SMALL,1,STACH,10
nonUNC_43,54,,,,,24,SMALL,1,STACH,2
nonUNC_44,55,,,,,81,SMALL,1,STACH,8
nonUNC_45,56,,,,,199,SMALL,1,STACH,16
nonUNC_46,57,,,,,25,SMALL,1,STACH,3
nonUNC_47,58,,,,,123,SMALL,1,STACH,12
nonUNC_48,59,,,,,94,SMALL,1,STACH,9
nonUNC_49,60,,,,,53,SMALL,1,STACH,5
nonUNC_50,61,,,,,91,SMALL,1,STACH,8
nonUNC_51,62,,,,,49,SMALL,1,STACH,6
nonUNC_52,63,,,,,86,SMALL,1,STACH,9
nonUNC_53,64,,,,,48,SMALL,1,STACH,5
nonUNC_54,65,,,,,708,LARGE,1,STACH,131
nonUNC_55,66,,,,,57,SMALL,1,STACH,6
nonUNC_56,67,,,,,647,LARGE,1,STACH,105
nonUNC_57,68,,,,,18,SMALL,1,STACH,0
nonUNC_58,69,,,,,100,SMALL,1,STACH,10
nonUNC_59,70,,,,,74,SMALL,1,STACH,5
nonUNC_60,71,,,,,64,SMALL,1,STACH,0
nonUNC_61,72,,,,,823,LARGE,1,STACH,148
nonUNC_62,73,,,,,91,SMALL,1,STACH,8
nonUNC_63,74,,,,,100,SMALL,1,#N/A,4
nonUNC_64,75,,,,,154,SMALL,1,STACH,18
nonUNC_65,76,,,,,22,SMALL,1,STACH,0
nonUNC_66,77,,,,,567,LARGE,1,STACH,93
nonUNC_67,78,,,,,203,SMALL,1,STACH,20
nonUNC_68,79,,,,,101,SMALL,1,STACH,13
nonUNC_69,80,,,,,162,SMALL,1,STACH,30
nonUNC_70,81,,,,,21,SMALL,1,STACH,2
nonUNC_71,82,,,,,62,SMALL,1,STACH,6
nonUNC_72,83,,,,,43,SMALL,1,STACH,4
nonUNC_73,84,,,,,38,SMALL,1,STACH,4
nonUNC_74,85,,,,,145,SMALL,1,STACH,10
nonUNC_75,86,,,,,129,SMALL,1,STACH,10
nonUNC_76,87,,,,,25,SMALL,1,STACH,3
nonUNC_77,88,,,,,116,SMALL,1,STACH,8
nonUNC_78,89,,,,,97,SMALL,1,STACH,12
nonUNC_79,90,,,,,182,SMALL,1,STACH,10
nonUNC_80,91,,,,,292,SMALL,1,STACH,32
nonUNC_81,92,,,,,97,SMALL,1,STACH,10
nonUNC_82,93,,,,,65,SMALL,1,STACH,6
nonUNC_83,94,,,,,42,SMALL,1,STACH,4
nonUNC_84,95,,,,,100,SMALL,1,#N/A,10
nonUNC_85,96,,,,,108,SMALL,1,STACH,8
nonUNC_86,97,,,,,182,SMALL,1,STACH,18
nonUNC_87,98,,,,,120,SMALL,1,STACH,6
nonUNC_88,99,,,,,6,SMALL,1,STACH,1
nonUNC_89,100,,,,,49,SMALL,1,STACH,5
nonUNC_90,101,,,,,56,SMALL,1,STACH,9
nonUNC_91,102,,,,,101,SMALL,1,STACH,8
nonUNC_92,103,,,,,782,LARGE,1,STACH,180
nonUNC_93,104,,,,,86,SMALL,1,STACH,10
nonUNC_94,105,,,,,120,SMALL,1,STACH,8
nonUNC_95,106,,,,,802,LARGE,1,STACH,176
nonUNC_96,107,,,,,628,LARGE,1,STACH,134
nonUNC_97,108,,,,,178,SMALL,1,STACH,12
nonUNC_98,109,,,,,100,SMALL,1,#N/A,0
nonUNC_99,110,,,,,49,SMALL,1,STACH,5
nonUNC_100,111,,,,,117,SMALL,1,STACH,12
nonUNC_101,112,,,,,270,SMALL,1,STACH,0
