Facility_ID,ID,Name,Category,Beds,ICU_Beds
1,NH_0,,NH,180,0
2,NH_1,,NH,129,0
3,NH_2,,NH,138,0
4,NH_3,,NH,120,0
5,NH_4,,NH,117,0
6,NH_5,,NH,104,0
7,NH_6,,NH,32,0
8,NH_7,,NH,160,0
9,NH_8,,NH,183,0
10,NH_9,,NH,90,0
11,NH_10,,NH,119,0
12,NH_11,,NH,95,0
13,NH_12,,NH,210,0
14,NH_13,,NH,118,0
15,NH_14,,NH,150,0
16,NH_15,,NH,150,0
17,NH_16,,NH,82,0
18,NH_17,,NH,80,0
19,NH_18,,NH,120,0
20,NH_19,,NH,94,0
21,NH_20,,NH,140,0
22,NH_21,,NH,215,0
23,NH_22,,NH,100,0
24,NH_23,,NH,116,0
25,NH_24,,NH,64,0
26,NH_25,,NH,90,0
27,NH_26,,NH,120,0
28,NH_27,,NH,106,0
29,NH_28,,NH,139,0
30,NH_29,,NH,132,0
31,NH_30,,NH,58,0
32,NH_31,,NH,77,0
33,NH_32,,NH,124,0
34,NH_33,,NH,114,0
35,NH_34,,NH,120,0
36,NH_35,,NH,84,0
37,NH_36,,NH,90,0
38,NH_37,,NH,100,0
39,NH_38,,NH,100,0
40,NH_39,,NH,118,0
41,NH_40,,NH,120,0
42,NH_41,,NH,100,0
43,NH_42,,NH,112,0
44,NH_43,,NH,114,0
45,NH_44,,NH,150,0
46,NH_45,,NH,120,0
47,NH_46,,NH,90,0
48,NH_47,,NH,104,0
49,NH_48,,NH,120,0
50,NH_49,,NH,72,0
51,NH_50,,NH,121,0
52,NH_51,,NH,120,0
53,NH_52,,NH,90,0
54,NH_53,,NH,184,0
55,NH_54,,NH,70,0
56,NH_55,,NH,48,0
57,NH_56,,NH,107,0
58,NH_57,,NH,120,0
59,NH_58,,NH,118,0
60,NH_59,,NH,120,0
61,NH_60,,NH,120,0
62,NH_61,,NH,60,0
63,NH_62,,NH,64,0
64,NH_63,,NH,92,0
65,NH_64,,NH,122,0
66,NH_65,,NH,104,0
67,NH_66,,NH,92,0
68,NH_67,,NH,157,0
69,NH_68,,NH,192,0
70,NH_69,,NH,170,0
71,NH_70,,NH,104,0
72,NH_71,,NH,90,0
73,NH_72,,NH,120,0
74,NH_73,,NH,194,0
75,NH_74,,NH,90,0
76,NH_75,,NH,150,0
77,NH_76,,NH,91,0
78,NH_77,,NH,140,0
79,NH_78,,NH,134,0
80,NH_79,,NH,76,0
81,NH_80,,NH,130,0
82,NH_81,,NH,100,0
83,NH_82,,NH,120,0
84,NH_83,,NH,100,0
85,NH_84,,NH,154,0
86,NH_85,,NH,160,0
87,NH_86,,NH,147,0
88,NH_87,,NH,142,0
89,NH_88,,NH,99,0
90,NH_89,,NH,72,0
91,NH_90,,NH,70,0
92,NH_91,,NH,110,0
93,NH_92,,NH,116,0
94,NH_93,,NH,123,0
95,NH_94,,NH,90,0
96,NH_95,,NH,85,0
97,NH_96,,NH,136,0
98,NH_97,,NH,120,0
99,NH_98,,NH,58,0
100,NH_99,,NH,120,0
101,NH_100,,NH,159,0
102,NH_101,,NH,150,0
103,NH_102,,NH,170,0
104,NH_103,,NH,88,0
105,NH_104,,NH,100,0
106,NH_105,,NH,100,0
107,NH_106,,NH,126,0
108,NH_107,,NH,64,0
109,NH_108,,NH,100,0
110,NH_109,,NH,120,0
111,NH_110,,NH,106,0
112,NH_111,,NH,100,0
113,NH_112,,NH,120,0
114,NH_113,,NH,134,0
115,NH_114,,NH,154,0
116,NH_115,,NH,108,0
117,NH_116,,NH,127,0
118,NH_117,,NH,36,0
119,NH_118,,NH,80,0
120,NH_119,,NH,92,0
121,NH_120,,NH,100,0
122,NH_121,,NH,140,0
123,NH_122,,NH,252,0
124,NH_123,,NH,111,0
125,NH_124,,NH,110,0
