RESIDENCE,alamance_regional_medical_center,alleghany_memorial_hospital,angel_medical_center,annie_penn_hospital,anson_county_hospital,ashe_memorial_hospital,betsy_johnson_hospital,blue_ridge_healthcare_hospitals_inc,blue_ridge_regional_hospital,caldwell_memorial_hospital,cape_fear_valley-bladen_county_hospital,cape_fear_valley_health_system,cape_fear_valley_hoke_hospital,carolinaeast_medical_center,carolinas_healthcare_system_carolinas_medical_center,carolinas_healthcare_system_kings_mountain_hospital,carolinas_healthcare_system_university_hospital,carolinas_medical_center_-_lincoln,carolinas_medical_center_northeast,caromont_regional_medical_center,carteret_county_general_hospital,catawba_valley_medical_center,central_carolina_hospital,central_harnett_health,charles_a._cannon_jr._memorial_hospital,chatham_hospital,cleveland_regional_medical_center,cmc_-_pineville,columbus_regional_healthcare_system,cone_health,continuecare_university_nc,davie_county_hospital,davis_medical_center,duke_raleigh,duke_regional_hospital,duke_university_medical_center,first_health_montgomery_hospital,first_health_moore_regional_hospital,first_health_richmond_memorial_hospital,firsthealth_moore_regional_hospital_-_hamlet,firsthealth_moore_regional_hospital_-_hoke_campus,frye_regional_medical_center,granville_health_system,halifax_regional_medical_center,haywood_regional_medical_center,high_point_regional_hospital,highlands-cashiers_hospital,hugh_chatham_memorial_hospital,iredell_health_system,j._arthur_dosher_memorial_hospital,johnston_health_clayton,johnston_health_smithfield,lake_norman_regional_medical_center,lenoir_memorial_hospital,lexington_memorial_hospital,lifebrite_community_hospital_of_stokes,margaret_r._pardee_memorial_hospital,maria_parham_hospital,martin_general_hospital,medwest_harris,medwest_swain,mission_hospital,murphy_medical_center,nash_health_care_system,new_hanover_regional_medical_center,north_carolina_specialty_hospital,northern_hospital_of_surry_county,novant_health_brunswick_medical_center,novant_health_charlotte_orthopedic_hospital,novant_health_forsyth_medical_center,novant_health_huntersville_medical_center,novant_health_kernersville_medical_center,novant_health_matthews_medical_center,novant_health_medical_park_hospital,novant_health_presbyterian_medical_center,novant_health_rowan_medical_center,novant_health_thomasville_medical_center,onslow_memorial_hospital,outer_banks_hospital,park_ridge_health,pender_memorial_hospital,person_county_memorial_hospital,randolph_hospital,rex_healthcare,rutherford_hospital,saint_luke's_hospital,sampson_county_memorial_hospital,scotland_health_care_system,sentara_albemarle_medical_center,southeastern_regional_medical_center,stanly_regional_medical_center,the_mcdowell_hospital,transylvania_regional_hospital,unc_hillsborough,unc_rockingham_health_center,union_regional_medical_center,university_of_north_carolina_hospitals,vidant_beaufort_hospital,vidant_bertie_hospital,vidant_chowan_hospital,vidant_duplin_hospital,vidant_edgecombe_hospital,vidant_medical_center,vidant_roanoke-chowan_hospital,wake_forest_baptist_health_-_wilkes_medical_center,wake_forest_baptist_medical_center,wakemed,wakemed_cary,wakemed_north_family_health&_woman's_hospital,washington_county_hospital,watauga_medical_center,wayne_memorial_hospital,wilson_memorial_hospital
Alamance,9647.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,1796.0,,,,,414.0,1501.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.0,,,3361.0,,,,,,,,,,,,,,,,
Alexander,,,,,,,,,,,,,,,,,,,,,,1027.0,,,,,,,,,,,347.0,,,,,,,,,817.0,,,,,,,1184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,
Alleghany,,276.0,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anson,,,,,163.0,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,83.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,,,,,,,,,,,,,,,,,,123.0,,,,,1541.0,,,,,,,,,,,,,,,,,
Ashe,,5.0,,,,740.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,741.0,,
Avery,,,,,,,,,66.0,,,,,,,,,,,,,,,,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.0,,
Beaufort,,,,,,,,,,,,,,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630.0,,,,,2610.0,,,,,,,2.0,,,
Bertie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,125.0,,54.0,1084.0,984.0,,,,,,,,,
Bladen,,,,,,,,,,,934.0,916.0,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.0,,,,,,,,,,,,,,,,,,,,,,,,,946.0,,,,,,,,,,,,,,,,,,,,,,,
Brunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871.0,,,,,,,,,,,,,,,7587.0,,,4203.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buncombe,,,,,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,197.0,,,183.0,,,,,,,,,,,,590.0,,,,,20985.0,,,,,,,,,,,,,,,,,,1105.0,,,,,,,,,,,,22.0,17.0,,,,,,,,,,,,,,,,,,,,
Burke,,,,,,,,5600.0,,104.0,,,,,767.0,32.0,,,,,,795.0,,,31.0,,,,,,,,,,,,,,,,,947.0,,,,,,,,,,,,,,,,,,,,633.0,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,
Cabarrus,,,,,,,,,,,,,,,2346.0,141.0,821.0,,14892.0,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,103.0,,,,,,,,,,,,,,,,87.0,,442.0,,181.0,,669.0,316.0,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,
