logrecno,county,blkgrp,tract,NH_facility,LT_facility,Large_facility,NH,LT,LARGE
5627,1,1,20100,1655,953348,943494,NH_1,LT_5,nonUNC_27
5628,1,2,20100,1655,953348,943494,NH_1,LT_5,nonUNC_27
5629,1,3,20100,1655,953348,943494,NH_1,LT_5,nonUNC_27
5630,1,4,20100,953553,953348,943494,NH_7,LT_5,nonUNC_27
5631,1,1,20200,932930,953348,943494,NH_0,LT_5,nonUNC_27
5632,1,2,20200,953553,953348,943494,NH_7,LT_5,nonUNC_27
5633,1,3,20200,953553,953348,943494,NH_7,LT_5,nonUNC_27
5634,1,4,20200,953553,953348,943494,NH_7,LT_5,nonUNC_27
5635,1,1,20300,932930,953348,943494,NH_0,LT_5,nonUNC_27
5636,1,2,20300,953553,953348,943494,NH_7,LT_5,nonUNC_27
5637,1,3,20300,932930,953348,943494,NH_0,LT_5,nonUNC_27
5638,1,4,20300,932930,953348,943494,NH_0,LT_5,nonUNC_27
5639,1,5,20300,150231,953348,943494,NH_3,LT_5,nonUNC_27
5640,1,1,20400,953553,953348,943494,NH_7,LT_5,nonUNC_27
5641,1,2,20400,953553,953348,943494,NH_7,LT_5,nonUNC_27
5642,1,3,20400,953553,953348,943494,NH_7,LT_5,nonUNC_27
5643,1,4,20400,953553,953348,943494,NH_7,LT_5,nonUNC_27
5644,1,5,20400,953553,953348,943494,NH_7,LT_5,nonUNC_27
5645,1,1,20501,1655,953348,943494,NH_1,LT_5,nonUNC_27
5646,1,2,20501,1655,953348,943494,NH_1,LT_5,nonUNC_27
5647,1,1,20502,1655,953348,943494,NH_1,LT_5,nonUNC_27
5648,1,2,20502,953553,953348,943494,NH_7,LT_5,nonUNC_27
5649,1,3,20502,1655,953348,943494,NH_1,LT_5,nonUNC_27
5650,1,1,20601,1655,953348,943494,NH_1,LT_5,nonUNC_27
5651,1,2,20601,960494,953348,943494,NH_2,LT_5,nonUNC_27
5652,1,3,20601,1655,953348,943494,NH_1,LT_5,nonUNC_27
5653,1,1,20602,1655,953348,943494,NH_1,LT_5,nonUNC_27
5654,1,2,20602,1655,953348,943494,NH_1,LT_5,nonUNC_27
5655,1,1,20701,960494,953348,943494,NH_2,LT_5,nonUNC_27
5656,1,2,20701,1655,953348,943494,NH_1,LT_5,nonUNC_27
5657,1,3,20701,960494,953348,943494,NH_2,LT_5,nonUNC_27
5658,1,4,20701,960494,953348,943494,NH_2,LT_5,nonUNC_27
5659,1,1,20702,1655,953348,943494,NH_1,LT_5,nonUNC_27
5660,1,2,20702,1655,953348,943494,NH_1,LT_5,nonUNC_27
5661,1,3,20702,1655,953348,943494,NH_1,LT_5,nonUNC_27
5662,1,4,20702,960494,953348,943494,NH_2,LT_5,nonUNC_27
5663,1,1,20801,1655,953348,943494,NH_1,LT_5,nonUNC_27
5664,1,2,20801,150231,953348,943494,NH_3,LT_5,nonUNC_27
5665,1,1,20802,953553,953348,943494,NH_7,LT_5,nonUNC_27
